Initial Temperature (K)	0.050729
Excitation Current (A)	1.25e-07
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	        Resistance (Ohms)	            Actual X-Field	                Actual Y-Field	                    Actual Z-Field	                        Lock-In Overload Pass	                            Average Phase
-0.02	                2.9e-05	                    0.01853715	                        -0.02	                            0.0	                                0.0	                                    True	                                        -5.6364
-0.02	                3e-05	                    0.026256	                        -0.02	                            0.0	                                0.0	                                    True	                                        5.412
-0.02	                3.1e-05	                    0.04568723	                        -0.02	                            0.0	                                -0.0	                                    True	                                        -12.9156
-0.02	                3.2e-05	                    0.00876191	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        73.5792
-0.02	                3.3e-05	                    0.02303732	                        -0.02	                            0.0	                                -0.0	                                    True	                                        57.408
-0.02	                3.4e-05	                    0.03010053	                        -0.02	                            0.0	                                0.0	                                    True	                                        34.302
-0.02	                3.5e-05	                    0.05665451	                        -0.02	                            -0.0	                                0.0	                                    True	                                        -7.6128
-0.02	                3.6e-05	                    0.0558201	                        -0.02	                            -0.0	                                0.0	                                    True	                                        -3.528
-0.02	                3.7e-05	                    0.04541898	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        -21.99
-0.02	                3.8e-05	                    0.03284233	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        23.6808
-0.02	                3.9e-05	                    -0.02309693	                        -0.02	                            -0.0	                                0.0	                                    True	                                        -66.9228
-0.02	                4e-05	                    0.03170989	                        -0.02	                            0.0	                                -0.0	                                    True	                                        10.6848
-0.02	                4.1e-05	                    0.03713389	                        -0.02	                            -0.0	                                0.0	                                    True	                                        30.2268
-0.02	                4.2e-05	                    0.05659496	                        -0.02	                            0.0	                                -0.0	                                    True	                                        -14.4816
-0.02	                4.3e-05	                    0.01883517	                        -0.02	                            0.0	                                -0.0	                                    True	                                        47.3424
-0.02	                4.4e-05	                    0.03126277	                        -0.02	                            0.0	                                -0.0	                                    True	                                        66.9924
-0.02	                4.5e-05	                    0.06040966	                        -0.02	                            0.0	                                0.0	                                    True	                                        10.2348
-0.02	                4.6e-05	                    0.02306714	                        -0.02	                            -0.0	                                0.0	                                    True	                                        38.544
-0.02	                4.7e-05	                    0.046015	                        -0.02	                            -0.0	                                0.0	                                    True	                                        40.6656
-0.02	                4.8e-05	                    0.02563014	                        -0.02	                            0.0	                                0.0	                                    True	                                        -0.1356
-0.02	                4.9e-05	                    0.01260647	                        -0.02	                            0.0	                                0.0	                                    True	                                        -24.9276
-0.02	                5e-05	                    0.00983478	                        -0.02	                            0.0	                                0.0	                                    True	                                        77.6868
-0.02	                5.1e-05	                    0.01883518	                        -0.02	                            0.0	                                -0.0	                                    True	                                        60.8328
-0.02	                5.2e-05	                    0.05549219	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        2.6412
-0.02	                5.3e-05	                    0.02160682	                        -0.02	                            0.0	                                0.0	                                    True	                                        31.4448
-0.02	                5.4e-05	                    0.04181286	                        -0.02	                            0.0	                                -0.0	                                    True	                                        23.8536
-0.02	                5.5e-05	                    0.03394502	                        -0.02	                            0.0	                                0.0	                                    True	                                        21.3996
-0.02	                5.6e-05	                    0.05707171	                        -0.02	                            0.0	                                0.0	                                    True	                                        10.2012
-0.02	                5.7e-05	                    0.02685207	                        -0.02	                            0.0	                                0.0	                                    True	                                        33.7836
-0.02	                5.8e-05	                    0.01296408	                        -0.02	                            0.0	                                0.0	                                    True	                                        -23.004
-0.02	                5.9e-05	                    0.00575189	                        -0.02	                            0.0	                                -0.0	                                    True	                                        -38.7348
-0.02	                6e-05	                    0.02259024	                        -0.02	                            0.0	                                0.0	                                    True	                                        56.3916
-0.02	                6.1e-05	                    0.06717478	                        -0.02	                            0.0	                                -0.0	                                    True	                                        32.3388
-0.02	                6.2e-05	                    0.05283978	                        -0.02	                            0.0	                                0.0	                                    True	                                        28.4928
-0.02	                6.3e-05	                    0.04971058	                        -0.02	                            -0.0	                                0.0	                                    True	                                        8.8176
-0.02	                6.4e-05	                    -0.0036955	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        81.6144
-0.02	                6.5e-05	                    0.03024953	                        -0.02	                            0.0	                                -0.0	                                    True	                                        14.4564
-0.02	                6.6e-05	                    0.01555689	                        -0.02	                            0.0	                                0.0	                                    True	                                        11.676
-0.02	                6.7e-05	                    0.03254429	                        -0.02	                            0.0	                                0.0	                                    True	                                        21.552
-0.02	                6.8e-05	                    0.02315648	                        -0.02	                            -0.0	                                0.0	                                    True	                                        20.0304
-0.02	                6.9e-05	                    0.0128151	                        -0.02	                            0.0	                                -0.0	                                    True	                                        48.9912
-0.02	                7e-05	                    0.06744318	                        -0.02	                            0.0	                                0.0	                                    True	                                        47.946
-0.02	                7.1e-05	                    0.05435976	                        -0.02	                            0.0	                                0.0	                                    True	                                        19.164
-0.02	                7.2e-05	                    0.02759709	                        -0.02	                            -0.0	                                0.0	                                    True	                                        0.2916
-0.02	                7.3e-05	                    0.03880293	                        -0.02	                            0.0	                                0.0	                                    True	                                        34.3872
-0.02	                7.4e-05	                    0.02840178	                        -0.02	                            0.0	                                0.0	                                    True	                                        -4.176
-0.02	                7.5e-05	                    0.04166392	                        -0.02	                            0.0	                                0.0	                                    True	                                        -6.4788
-0.02	                7.6e-05	                    0.04789266	                        -0.02	                            0.0	                                0.0	                                    True	                                        30.9264
-0.02	                7.7e-05	                    0.03802794	                        -0.02	                            -0.0	                                0.0	                                    True	                                        3.0336
-0.02	                7.8e-05	                    0.04589578	                        -0.02	                            -0.0	                                0.0	                                    True	                                        29.916
-0.02	                7.9e-05	                    0.00196694	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        38.5416
-0.02	                8e-05	                    0.03308082	                        -0.02	                            0.0	                                -0.0	                                    True	                                        8.4984
