Initial Temperature (K)	0.0500747
Resistor	1000000.0	Excitation Current (A)	1.351e-08
Axis 1,2	x,z
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field	Lock-In Overload Pass	Compliance Pass
-0.0049	-7.2e-05	0.50200009	-0.0049	0.0	0.0	True	True
-0.0049	-7.1e-05	0.22467325	-0.0049	0.0	-0.0	True	True
-0.0049	-7e-05	0.37891256	-0.0049	-0.0	-0.0	True	True
-0.0049	-6.9e-05	0.31192417	-0.0049	0.0	-0.0	True	True
-0.0049	-6.8e-05	0.40964994	-0.0049	0.0	0.0	True	True
-0.0049	-6.7e-05	0.36168277	-0.0049	0.0	0.0	True	True
-0.0049	-6.6e-05	0.31399162	-0.0049	0.0	0.0	True	True
-0.0049	-6.5e-05	0.25651408	-0.0049	0.0	0.0	True	True
-0.0049	-6.4e-05	0.44314493	-0.0049	0.0	0.0	True	True
-0.0049	-6.3e-05	0.35423985	-0.0049	0.0	-0.0	True	True
-0.0049	-6.2e-05	0.36843675	-0.0049	-0.0	-0.0	True	True
-0.0049	-6.1e-05	0.50393075	-0.0049	-0.0	0.0	True	True
-0.0049	-6e-05	0.41571461	-0.0049	0.0	0.0	True	True
-0.0049	-5.9e-05	0.46271756	-0.0049	0.0	-0.0	True	True
-0.0049	-5.8e-05	0.37918784	-0.0049	0.0	0.0	True	True
-0.0049	-5.7e-05	0.40124243	-0.0049	-0.0	0.0	True	True
-0.0049	-5.6e-05	0.26643848	-0.0049	0.0	0.0	True	True
-0.0049	-5.5e-05	0.408961	-0.0049	0.0	0.0	True	True
-0.0049	-5.4e-05	0.35010473	-0.0049	-0.0	0.0	True	True
-0.0049	-5.3e-05	0.43790647	-0.0049	-0.0	-0.0	True	True
-0.0049	-5.2e-05	0.51619773	-0.0049	0.0	0.0	True	True
-0.0049	-5.1e-05	0.37918821	-0.0049	0.0	-0.0	True	True
-0.0049	-5e-05	0.44438443	-0.0049	0.0	-0.0	True	True
-0.0049	-4.9e-05	0.50227611	-0.0049	0.0	0.0	True	True
-0.0049	-4.8e-05	0.48408136	-0.0049	-0.0	0.0	True	True
-0.0049	-4.7e-05	0.48394372	-0.0049	-0.0	-0.0	True	True
-0.0049	-4.6e-05	0.52515765	-0.0049	0.0	0.0	True	True
-0.0049	-4.5e-05	0.510822	-0.0049	-0.0	0.0	True	True
-0.0049	-4.4e-05	0.40082914	-0.0049	0.0	0.0	True	True
-0.0049	-4.3e-05	0.2967622	-0.0049	0.0	0.0	True	True
-0.0049	-4.2e-05	0.30709963	-0.0049	-0.0	0.0	True	True
-0.0049	-4.1e-05	0.3316347	-0.0049	-0.0	0.0	True	True
-0.0049	-4e-05	0.44190321	-0.0049	0.0	0.0	True	True
-0.0049	-3.9e-05	0.39972543	-0.0049	-0.0	0.0	True	True
-0.0049	-3.8e-05	0.28297855	-0.0049	0.0	0.0	True	True
-0.0049	-3.7e-05	0.3501051	-0.0049	0.0	-0.0	True	True
-0.0049	-3.6e-05	0.44107663	-0.0049	-0.0	0.0	True	True
-0.0049	-3.5e-05	0.58635639	-0.0049	-0.0	0.0	True	True
-0.0049	-3.4e-05	0.53866524	-0.0049	0.0	0.0	True	True
-0.0049	-3.3e-05	0.32805125	-0.0049	-0.0	0.0	True	True
-0.0049	-3.2e-05	0.4329444	-0.0049	-0.0	0.0	True	True
-0.0049	-3.1e-05	0.49000802	-0.0049	-0.0	0.0	True	True
-0.0049	-3e-05	0.47112507	-0.0049	0.0	0.0	True	True
-0.0049	-2.9e-05	0.44410878	-0.0049	-0.0	0.0	True	True
-0.0049	-2.8e-05	0.27842944	-0.0049	0.0	0.0	True	True
-0.0049	-2.7e-05	0.50227611	-0.0049	0.0	0.0	True	True
-0.0049	-2.6e-05	0.434047	-0.0049	-0.0	0.0	True	True
-0.0049	-2.5e-05	0.38594219	-0.0049	-0.0	0.0	True	True
-0.0049	-2.4e-05	0.47787905	-0.0049	-0.0	0.0	True	True
-0.0049	-2.3e-05	0.43266838	-0.0049	0.0	0.0	True	True
-0.0049	-2.2e-05	0.48559725	-0.0049	-0.0	0.0	True	True
-0.0049	-2.1e-05	-1.13990939	-0.0049	-0.0	0.0	True	True
-0.0049	-2e-05	0.10241263	-0.0049	0.0	0.0	True	True
