Started December 28, 2022 23:37:30Resistor	201600.0	Excitation Current (A)	6.12e-08
Restsitance (Ohms)	Channel 5 Temp (K)	Channel 8 Temp (K)	Channel 13 Temp (K)
2.26051307	14.3434	14.2031	5.98901
2.26538235	14.3434	14.2031	5.98901
2.29849346	14.3434	14.2031	5.98901
2.25271895	14.3434	14.2031	5.98901
2.22934641	14.3434	14.2031	5.98901
2.16896078	14.3434	14.2031	5.98901
2.26343464	14.3434	14.2031	5.99241
2.29362418	14.3434	14.2031	5.99241
2.21960784	14.3434	14.2031	5.99241
2.33745098	14.3434	14.2031	5.99241
2.28485948	14.3434	14.2031	5.99241
2.24005882	14.3434	14.2031	5.99241
2.29265033	14.3434	14.2031	5.99241
2.28291176	14.3434	14.2031	5.99241
2.21473529	14.3434	14.2031	5.99241
2.28778105	14.3434	14.2031	5.99241
2.30044444	14.3434	14.2031	5.99241
2.36569608	14.3434	14.2031	5.99241
2.27025163	14.3434	14.2031	5.99241
2.31115686	14.3434	14.2031	5.99241
2.27706863	14.3434	14.2031	5.99241
2.33355556	14.3434	14.2031	5.99241
2.32868627	14.3434	14.2031	5.99241
2.21960784	14.3434	14.2031	5.99241
2.23811111	14.1845	14.2031	5.99241
2.15337908	14.1845	14.2031	5.99241
2.317	14.1845	14.2031	5.99241
2.29946732	14.1845	14.2031	5.99241
2.23518954	14.1845	14.2031	5.99241
2.29751961	14.1845	14.2031	5.99241
2.23129412	14.1845	14.1321	5.99241
2.29362418	14.1845	14.1321	5.99241
2.27122549	14.1845	14.1321	5.99241
2.30336601	14.1845	14.1321	5.99241
2.26538235	14.1845	14.1321	5.99241
2.29070261	14.1845	14.1321	5.99241
2.28291176	14.1845	14.1321	5.98514
2.21766013	14.1845	14.1321	5.98514
2.24882353	14.1845	14.1321	5.98514
2.1485098	14.1845	14.1321	5.98514
2.21960784	14.1845	14.1321	5.98514
2.28291176	14.1845	14.1321	5.98514
2.27901634	14.1845	14.1321	5.98514
2.25564052	14.1845	14.1321	5.98514
2.21863399	14.1845	14.1321	5.98514
2.2449281	14.1845	14.1321	5.98514
2.27414706	14.1845	14.1321	5.98514
2.27901634	14.1845	14.1321	5.98514
2.25564052	14.1845	14.1321	5.98514
2.22837255	14.1845	14.1321	5.98514
2.25077124	14.1845	14.1321	5.98514
2.1709085	14.1845	14.1321	5.98514
2.18162418	14.1845	14.1321	5.98514
2.32381699	14.1845	14.1321	5.98514
2.19720588	14.0817	14.1321	5.98514
2.33939869	14.0817	14.1321	5.98514
2.28291176	14.0817	14.1321	5.98514
2.30920915	14.0817	14.1321	5.98514
2.24590196	14.0817	14.1321	5.98514
2.34816667	14.0817	14.0582	5.98514
2.3608268	14.0817	14.0582	5.98514
2.35206209	14.0817	14.0582	5.98514
2.27122549	14.0817	14.0582	5.98514
2.27901634	14.0817	14.0582	5.98514
2.30239216	14.0817	14.0582	5.98514
2.16311765	14.0817	14.0582	5.98514
2.34816667	14.0817	14.0582	5.95943
2.24298039	14.0817	14.0582	5.95943
2.34134641	14.0817	14.0582	5.95943
2.33745098	14.0817	14.0582	5.95943
2.22934641	14.0817	14.0582	5.95943
2.2955719	14.0817	14.0582	5.95943
2.27609477	14.0817	14.0582	5.95943
2.30433987	14.0817	14.0582	5.95943
2.2079183	14.0817	14.0582	5.95943
2.27414706	14.0817	14.0582	5.95943
2.33550327	14.0817	14.0582	5.95943
2.31797386	14.0817	14.0582	5.95943
2.30239216	14.0817	14.0582	5.95943
2.30628758	14.0817	14.0582	5.95943
2.32479085	14.0817	14.0582	5.95943
2.19817974	14.0817	14.0582	5.95943
2.26343464	14.0817	14.0582	5.95943
2.25271895	13.932	14.0582	5.95943
2.25661438	13.932	14.0582	5.95943
2.24590196	13.932	14.0582	5.95943
2.28193791	13.932	14.0582	5.95943
2.26733007	13.932	14.0582	5.95943
2.22837255	13.932	14.0582	5.95943
2.26343464	13.932	13.9821	5.95943
2.26538235	13.932	13.9821	5.95943
2.33745098	13.932	13.9821	5.95943
2.3014183	13.932	13.9821	5.95943
2.33063399	13.932	13.9821	5.95943
2.26343464	13.932	13.9821	5.95943
2.31213072	13.932	13.9821	5.94976
2.21960784	13.932	13.9821	5.94976
2.22837255	13.932	13.9821	5.94976
2.1767549	13.932	13.9821	5.94976
2.30336601	13.932	13.9821	5.94976
2.31797386	13.932	13.9821	5.94976
2.317	13.932	13.9821	5.94976
2.32576471	13.932	13.9821	5.94976
2.3540098	13.932	13.9821	5.94976
2.26927778	13.932	13.9821	5.94976
2.29362418	13.932	13.9821	5.94976
2.3764085	13.932	13.9821	5.94976
2.39978431	13.932	13.9821	5.94976
2.29751961	13.932	13.9821	5.94976
2.22934641	13.932	13.9821	5.94976
2.32576471	13.932	13.9821	5.94976
2.29070261	13.932	13.9821	5.94976
2.24395425	13.932	13.9821	5.94976
2.25466667	14.0393	13.9821	5.94976
2.2955719	14.0393	13.9821	5.94976
2.29070261	14.0393	13.9821	5.94976
2.317	14.0393	13.9821	5.94976
2.24687582	14.0393	13.9821	5.94976
2.33647712	14.0393	13.9821	5.94976
2.2449281	14.0393	13.9045	5.94976
2.25271895	14.0393	13.9045	5.94976
2.35206209	14.0393	13.9045	5.94976
2.23811111	14.0393	13.9045	5.94976
