Field A is the magnetic field created by Axes 1 and 2, Field B is the field created by Axis 3Initial Temperature (K)	0.025007
Excitation Current (A)	2e-07
Axis 1,2	y,z
Axis 3	x
Angle in 1,2	14
Field A (T)	Field B (T)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
-0.19	0.00775	0.12934265	-0.0077	-0.1844	-0.046
-0.19	0.008	0.10213865	-0.008	-0.1844	-0.046
-0.19	0.00825	0.1059758	-0.0083	-0.1844	-0.046
-0.19	0.0085	0.11970365	-0.0085	-0.1844	-0.046
-0.19	0.00875	0.08715365	-0.0087	-0.1844	-0.046
-0.19	0.009	0.092127	-0.009	-0.1844	-0.0459
-0.19	0.00925	0.09619695	-0.0092	-0.1844	-0.0459
-0.19	0.0095	0.10482095	-0.0095	-0.1844	-0.046
-0.19	0.00975	0.11140545	-0.0097	-0.1844	-0.046
-0.19	0.01	0.1025764	-0.01	-0.1844	-0.046
-0.19	0.01025	0.0924436	-0.0102	-0.1844	-0.0459
