Initial Temperature (K)	0.0250387
Excitation Current (A)	1.082761038961039e-12
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)
-0.0392	-0.000142	0.10557775
-0.0392	-0.00014	0.11075822
-0.0392	-0.000138	0.08317331
-0.0392	-0.000136	0.10788853
-0.0392	-0.000134	0.09737034
-0.0392	-0.000132	0.10494913
-0.0392	-0.00013	0.09732378
-0.0392	-0.000128	0.10114228
-0.0392	-0.000126	0.10887228
-0.0392	-0.000124	0.10273712
-0.0392	-0.000122	0.10401187
-0.0392	-0.00012	0.10722503
-0.0392	-0.000118	0.09995478
-0.0392	-0.000116	0.09324341
-0.0392	-0.000114	0.09659034
-0.0392	-0.000112	0.09438422
-0.0392	-0.00011	0.10035641
-0.0392	-0.000108	0.10503047
-0.0392	-0.000106	0.11164306
-0.0392	-0.000104	0.10028656
-0.0392	-0.000102	0.09646813
-0.0392	-0.0001	0.09112459
-0.0392	-9.8e-05	0.11249284
-0.0392	-9.6e-05	0.1061655
-0.0392	-9.4e-05	0.10728903
-0.0392	-9.2e-05	0.10733556
-0.0392	-9e-05	0.11154991
-0.0392	-8.8e-05	0.11078731
-0.0392	-8.6e-05	0.09561819
-0.0392	-8.4e-05	0.09983847
-0.0392	-8.2e-05	0.10713184
-0.0392	-8e-05	0.10578138
-0.0392	-7.8e-05	0.10220156
-0.0392	-7.6e-05	0.08985562
-0.0392	-7.4e-05	0.10600844
-0.0392	-7.2e-05	0.09404091
-0.0392	-7e-05	0.10998988
-0.0392	-6.8e-05	0.10191053
-0.0392	-6.6e-05	0.11529256
-0.0392	-6.4e-05	0.10576984
-0.0392	-6.2e-05	0.10057769
-0.0392	-6e-05	0.10386053
-0.0392	-5.8e-05	0.09580453
-0.0392	-5.6e-05	0.10402359
-0.0392	-5.4e-05	0.09032134
-0.0392	-5.2e-05	0.09801066
-0.0392	-5e-05	0.09493731
-0.0392	-4.8e-05	0.09829003
-0.0392	-4.6e-05	0.10658469
-0.0392	-4.4e-05	0.09652641
-0.0392	-4.2e-05	0.10355788
-0.0392	-4e-05	0.10342394
-0.0392	-3.8e-05	0.11014128
-0.0392	-3.6e-05	0.09841803
